event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ITF KOBIETY - SINGIEL: W15 Santa Margarita de Montbui (Hiszpania), twarda - 1/8-finału",27-05-2021 13:00:00,Amanda Carreras,Francesca Curmi,0,,,0,,,,Gbr,Mlt,361,1167,https://www.flashscore.pl/zawodnik/carreras-amanda/bJA3DIHc,https://www.flashscore.pl/zawodnik/curmi-francesca/OxiK2c23,1.73,1.95,1.8,1.9,1.77,1.87,1.73,1.95,1.8,1.9,1.77,1.91,1.78,1.88
"ITF KOBIETY - SINGIEL: W15 Santa Margarita de Montbui (Hiszpania), twarda - 1/8-finału",27-05-2021 15:00:00,Maria Bondarenko,Mihaela Djakovic,0,,,0,,,,Rus,Srb,975,895,https://www.flashscore.pl/zawodnik/bondarenko-maria/0tyYoQeb,https://www.flashscore.pl/zawodnik/djakovic-mihaela/zktPbd4F,1.72,1.96,1.72,1.95,1.71,1.94,1.72,1.96,1.71,2.0,1.74,1.94,1.7,1.98
"ITF KOBIETY - SINGIEL: W15 Santa Margarita de Montbui (Hiszpania), twarda - 1/8-finału",27-05-2021 15:00:00,Emilie Lindh,Oksana Selekhmeteva,0,,,0,,,,Gbr,Rus,696,540,https://www.flashscore.pl/zawodnik/lindh-emilie/UT7m50wd,https://www.flashscore.pl/zawodnik/selekhmeteva-oksana/v7vDWRvO,7.8,1.04,7.45,1.05,7.0,1.04,7.46,1.05,8.5,1.03,7.7,1.04,7.61,1.04
"ITF KOBIETY - SINGIEL: W15 Sibenik 2 (Chorwacja), ziemna - 1/8-finału",27-05-2021 15:00:00,Lucija Ciric Bagaric,Tatiana Pieri,0,,,0,,,,Cro,Ita,,506,https://www.flashscore.pl/zawodnik/ciric-bagaric-lucija/CQrcqp08,https://www.flashscore.pl/zawodnik/pieri-tatiana/Gvf7kuZk,2.95,1.33,2.95,1.32,2.9,1.32,2.96,1.33,3.05,1.31,3.05,1.31,2.98,1.32
"ITF KOBIETY - SINGIEL: W15 Sibenik 2 (Chorwacja), ziemna - 1/8-finału",27-05-2021 15:00:00,Barbora Miklova,Emeline Dartron,0,,,0,,,,Cze,Fra,623,766,https://www.flashscore.pl/zawodnik/miklova-barbora/nBGXyFph,https://www.flashscore.pl/zawodnik/dartron-emeline/zw8Ilv1R,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Otocec (Słowenia), ziemna - 1/8-finału",27-05-2021 14:20:00,Anastasia Zarycka,Dalila Jakupovic,0,,,0,,,,Cze,Slo,404,298,https://www.flashscore.pl/zawodnik/zarycka-anastasia/QVCmBF0A,https://www.flashscore.pl/zawodnik/jakupovic-dalila/OhCrR0NO,1.56,2.33,1.52,2.3,,,1.52,2.31,1.5,2.4,1.56,2.2,1.6,2.14
"ITF KOBIETY - SINGIEL: W25 Otocec (Słowenia), ziemna - 1/8-finału",27-05-2021 16:00:00,Victoria Kan,Alexandra Vecic,0,,,0,,,,Rus,Ger,257,928,https://www.flashscore.pl/zawodnik/kan-victoria/82YtEZsp,https://www.flashscore.pl/zawodnik/vecic-alexandra/U5tnc4Si,1.74,2.02,1.72,2.0,1.7,1.96,1.71,1.98,,,1.71,1.98,1.72,1.96
"ITF MĘŻCZYŹNI - DEBEL: M15 Antalya (Turcja), ziemna - Ćwierćfinał",27-05-2021 14:00:00,Ignacio Carou / Orlando Luz,Fletcher Scott / Daisuke Sumizawa,0,,,0,,,, / , / ,957 / 333,1634 / 1085,https://www.flashscore.pl/zawodnik/carou-ignacio/YVrzWVEE / https://www.flashscore.pl/zawodnik/luz-orlando/vTTQuqa9,https://www.flashscore.pl/zawodnik/scott-fletcher/CA1UXXm0 / https://www.flashscore.pl/zawodnik/sumizawa-daisuke/MVw0Fswh,1.2,3.9,1.2,3.9,,,1.2,3.9,,,,,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Antalya (Turcja), ziemna - Ćwierćfinał",27-05-2021 14:00:00,Constant De La Bassetiere / Stuart Parker,Jakub Paul / Bart Stevens,0,,,0,,,, / , / ,1655 / 577,669 / 833,https://www.flashscore.pl/zawodnik/de-la-bassetiere-constant/2ifBbnH9 / https://www.flashscore.pl/zawodnik/parker-stuart/tSMxmjU3,https://www.flashscore.pl/zawodnik/paul-jakub/l2BOTfoQ / https://www.flashscore.pl/zawodnik/stevens-bart/GxBohsAT,2.27,1.54,2.25,1.55,2.25,1.53,2.27,1.54,2.45,1.47,2.4,1.47,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Bucharest (Rumunia), ziemna - Ćwierćfinał",27-05-2021 14:00:00,Uladzimir Ignatik / Mircea Alexandru Jecan,Nicholas David Ionel / Stefan Palosi,0,,,0,,,, / , / ,352 / 511,535 / 907,https://www.flashscore.pl/zawodnik/ignatik-uladzimir/bBkOAlI9 / https://www.flashscore.pl/zawodnik/jecan-mircea-alexandru/UD9D7F8s,https://www.flashscore.pl/zawodnik/ionel-nicholas-david/rZoAMC0F / https://www.flashscore.pl/zawodnik/palosi-stefan/G6OSMRoI,1.51,2.33,1.52,2.35,1.5,2.3,,,1.51,2.35,1.51,2.35,,
