match_time,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,event,player_1,player_2,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Lvbet,player_2_Lvbet,player_1_Pzbuk,player_2_Pzbuk,player_1_Totolotek,player_2_Totolotek
2021-05-04 18:00:00,0,0 4,40,1,6 3,30,player_2,"CHALLENGER MĘŻCZYŹNI - SINGIEL: Biella 5 (Włochy), ziemna - 1/16-finału",Stefano Napolitano,Hugo Dellien,Ita,Bol,326,127,https://www.flashscore.pl/zawodnik/napolitano-stefano/pKG0p9mP,https://www.flashscore.pl/zawodnik/dellien-hugo/fkLRaqYe,2.85,1.41,2.75,1.4,NA,NA,2.83,1.41,2.65,1.4,2.6,1.45,2.61,1.41
2021-05-04 16:25:00,1,6 6 5,40,1,7 4 3,40,player_1,"CHALLENGER MĘŻCZYŹNI - SINGIEL: Praga (Czechy), ziemna - 1/16-finału",Norbert Gombos,Henri Laaksonen,Svk,Sui,89,137,https://www.flashscore.pl/zawodnik/gombos-norbert/bDFSqjSo,https://www.flashscore.pl/zawodnik/laaksonen-henri/zBpszmMu,1.44,2.75,1.42,2.65,NA,NA,1.44,2.73,1.4,2.65,1.41,2.7,1.47,2.43
2021-05-04 16:30:00,1,4 6 2,15,1,6 2 5,15,player_1,"CHALLENGER KOBIETY - SINGIEL: Saint Malo (Francja), ziemna - 1/16-finału",Christina McHale,Wiktoria Tomowa,Usa,Bul,90,126,https://www.flashscore.pl/zawodnik/mchale-christina/SMUdHkSh,https://www.flashscore.pl/zawodnik/tomowa-wiktoria/Ova6pdYE,2.03,1.73,2,1.72,NA,NA,2.11,1.73,2.01,1.69,2.1,1.8,1.96,1.72
2021-05-04 16:40:00,1,6 4 5,0,1,4 6 6,0,player_1,"CHALLENGER KOBIETY - SINGIEL: Saint Malo (Francja), ziemna - 1/16-finału",Xiyu Wang,Rebecca Peterson,Chn,Swe,136,61,https://www.flashscore.pl/zawodnik/wang-xiyu/6XSnpS5h,https://www.flashscore.pl/zawodnik/peterson-rebecca/I3SAuZYu,1.96,1.78,1.95,1.75,NA,NA,2.03,1.78,1.9,1.78,2,1.86,1.97,1.71
2021-05-04 16:45:00,1,7 0 6,0,1,5 6 5,0,player_1,"CHALLENGER KOBIETY - SINGIEL: Saint Malo (Francja), ziemna - 1/16-finału",Aliaksandra Sasnowicz,Tessah Andrianjafitrimo,Blr,Fra,92,257,https://www.flashscore.pl/zawodnik/sasnowicz-aliaksandra/S6JNQ85M,https://www.flashscore.pl/zawodnik/andrianjafitrimo-tessah/CnmXaPUB,1.12,5.6,1.12,5.4,NA,NA,1.12,6.2,1.11,5.3,1.13,6.25,1.1,5.47
2021-05-04 19:15:00,0,,,0,,,NA,"CHALLENGER KOBIETY - SINGIEL: Saint Malo (Francja), ziemna - 1/16-finału",Amandine Hesse,Anna Kalinskaja,Fra,Rus,265,104,https://www.flashscore.pl/zawodnik/hesse-amandine/bFE65J4E,https://www.flashscore.pl/zawodnik/kalinskaja-anna/KGdcQnEf,3.95,1.23,3.85,1.22,NA,NA,4.25,1.22,3.8,1.21,4.15,1.25,3.87,1.2
2021-05-04 17:05:00,1,7 6 3 3,0,1,6 7 2 7,0,player_1,"CHALLENGER MĘŻCZYŹNI - DEBEL: Biella 5 (Włochy), ziemna - 1/8-finału",Sadio Doumbia / Fabien Reboul,Marco Bortolotti / Cristian Rodriguez, / , / ,442 / 693,546 / 495,https://www.flashscore.pl/zawodnik/doumbia-sadio/GzTZDEtf / https://www.flashscore.pl/zawodnik/reboul-fabien/nDBQounf,https://www.flashscore.pl/zawodnik/bortolotti-marco/YFcGg339 / https://www.flashscore.pl/zawodnik/rodriguez-cristian/A9TAOZGc,1.15,4.9,1.14,4.65,1.15,4.8,1.16,5.1,1.13,4.85,1.15,4.5,1.15,4.5
2021-05-04 19:10:00,0,,,0,,,NA,"CHALLENGER MĘŻCZYŹNI - DEBEL: Biella 5 (Włochy), ziemna - 1/8-finału",Ruben Bemelmans / Alexandre Muller,Kimmer Coppejans / Joao Menezes, / , / ,198 / 202,177 / 199,https://www.flashscore.pl/zawodnik/bemelmans-ruben/f5NrxGlc / https://www.flashscore.pl/zawodnik/muller-alexandre/nLLdS9q0,https://www.flashscore.pl/zawodnik/coppejans-kimmer/67EJxseJ / https://www.flashscore.pl/zawodnik/menezes-joao/GGshOstg,1.63,2.19,1.6,2.15,NA,NA,1.64,2.21,NA,NA,1.6,2.2,1.6,2.14
2021-05-04 19:15:00,0,,,0,,,NA,"CHALLENGER KOBIETY - DEBEL: Saint Malo (Francja), ziemna - 1/8-finału",Oksana Kałasznikowa / Ałła Kudriawcewa,Aliona Bolsova Zadoinov / Emily Webley-Smith, / , / ,1366 / ,105 / 445,https://www.flashscore.pl/zawodnik/kalasznikowa-oksana/nyu48G2r / https://www.flashscore.pl/zawodnik/kudriawcewa-alla/GMFSia9S,https://www.flashscore.pl/zawodnik/bolsova-zadoinov-aliona/O6dHZYhC / https://www.flashscore.pl/zawodnik/webley-smith-emily/fgIEBe68,1.45,2.65,1.42,2.6,NA,NA,1.44,2.77,NA,NA,1.45,2.6,1.4,2.65
2021-05-04 19:15:00,0,,,0,,,NA,"CHALLENGER KOBIETY - DEBEL: Saint Malo (Francja), ziemna - 1/8-finału",Greetje Minnen / Alison Van Uytvanck,Elixane Lechemia / Julia Wachaczyk, / , / ,129 / 68, / 925,https://www.flashscore.pl/zawodnik/minnen-greetje/QoLeDQFG / https://www.flashscore.pl/zawodnik/van-uytvanck-alison/KfdYy5Pq,https://www.flashscore.pl/zawodnik/lechemia-elixane/APnipISl / https://www.flashscore.pl/zawodnik/wachaczyk-julia/ln86XXjl,1.57,2.31,1.55,2.25,NA,NA,1.57,2.41,NA,NA,1.58,2.3,1.47,2.43
2021-05-04 19:30:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/16-finału",Kristie Ahn,Magdalena Fręch,Usa,Pol,124,158,https://www.flashscore.pl/zawodnik/ahn-kristie/8YmrogHg,https://www.flashscore.pl/zawodnik/frech-magdalena/W6pL8zuB,4.4,1.2,4.15,1.2,3.95,1.18,4.06,1.19,4.1,1.18,4.25,1.17,3.85,1.2
2021-05-04 19:30:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/16-finału",Irina Maria Bara,Allie Kiick,Rou,Usa,133,189,https://www.flashscore.pl/zawodnik/bara-irina-maria/zk2irZZG,https://www.flashscore.pl/zawodnik/kiick-allie/4dQgPNzE,1.54,2.44,1.52,2.4,1.5,2.32,1.51,2.35,1.49,2.35,1.51,2.35,1.45,2.48
2021-05-04 19:30:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/16-finału",Francesca Di Lorenzo,Veronica Cepede,Usa,Par,154,183,https://www.flashscore.pl/zawodnik/di-lorenzo-francesca/8M2ihFnI,https://www.flashscore.pl/zawodnik/cepede-veronica/A7k8bhXF,2.36,1.57,2.3,1.55,2.25,1.53,2.27,1.54,2.25,1.54,2.3,1.54,2.19,1.57
2021-05-04 19:30:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/16-finału",Storm Sanders,Gabriela Talaba,Aus,Rou,166,208,https://www.flashscore.pl/zawodnik/sanders-storm/WEvLWEdN,https://www.flashscore.pl/zawodnik/talaba-gabriela/vycI5UGq,1.38,3,1.37,2.9,1.34,2.8,1.35,2.85,1.36,2.8,1.34,2.9,1.37,2.76
2021-05-04 17:00:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/16-finału",Magali Kempen,Susan Bandecchi,Bel,Sui,426,236,https://www.flashscore.pl/zawodnik/kempen-magali/AgiLFeyF,https://www.flashscore.pl/zawodnik/bandecchi-susan/EsWES72T,2.5,1.44,2.5,1.45,2.49,1.43,2.52,1.44,2.5,1.45,2.55,1.45,NA,NA
2021-05-04 17:30:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/16-finału",Mai Hontama,Valeska Alexandra San Martin Ramirez,Jpn,Ecu,343,,https://www.flashscore.pl/zawodnik/hontama-mai/S0E8uMT2,https://www.flashscore.pl/zawodnik/san-martin-ramirez-valeska-alexandra/EmQEfhEU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-04 17:30:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/16-finału",Akiko Omae,Lucrezia Stefanini,Jpn,Ita,281,331,https://www.flashscore.pl/zawodnik/omae-akiko/d8Z9CtlA,https://www.flashscore.pl/zawodnik/stefanini-lucrezia/bkppJqxo,3.75,1.22,3.75,1.22,3.6,1.22,3.74,1.22,3.6,1.23,3.9,1.2,NA,NA
2021-05-04 21:00:00,0,,,0,,,NA,"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/16-finału",Mell Elizabeth Reasco Gonzalez,Ioana Loredana Rosca,Ecu,Rou,776,377,https://www.flashscore.pl/zawodnik/reasco-gonzalez-mell-elizabeth/tzeNZuM5,https://www.flashscore.pl/zawodnik/rosca-ioana-loredana/xjdVoZjo,4.1,1.18,4.35,1.16,4.3,1.16,4.37,1.16,4.5,1.15,NA,NA,NA,NA
2021-05-04 17:20:00,0,,,0,,,NA,"ITF MĘŻCZYŹNI - DEBEL: M15 Majadahonda (Hiszpania), ziemna - 1/8-finału",Daniel Rincon / Pedro Vives Marcos,Nuno Borges / Francisco Cabral, / , / ,1236 / 637,301 / 1002,https://www.flashscore.pl/zawodnik/rincon-daniel/67MpdccF / https://www.flashscore.pl/zawodnik/vives-marcos-pedro/rsfIfIsK,https://www.flashscore.pl/zawodnik/borges-nuno/hzbEPIOa / https://www.flashscore.pl/zawodnik/cabral-francisco/0b07lcun,NA,NA,NA,NA,NA,NA,NA,NA,3.85,1.2,NA,NA,NA,NA
2021-05-04 16:30:00,0,,,0,,,NA,"ITF MĘŻCZYŹNI - DEBEL: M15 Monastir (Tunezja), twarda - 1/8-finału",Luca Potenza / Francesco Vilardo,Brandon Holt / Zachary Svajda, / , / ,700 / 709,595 / 797,https://www.flashscore.pl/zawodnik/potenza-luca/KQ97KSpp / https://www.flashscore.pl/zawodnik/vilardo-francesco/2NBznGjm,https://www.flashscore.pl/zawodnik/holt-brandon/GtTV1GfD / https://www.flashscore.pl/zawodnik/svajda-zachary/vynGYhMa,1.98,1.71,2,1.72,1.96,1.7,1.98,1.71,NA,NA,NA,NA,NA,NA
2021-05-04 21:00:00,0,,,0,,,NA,"ITF KOBIETY - DEBEL: W100 Charleston, SC (USA), ziemna - 1/8-finału",Quinn Gleason / Jamie Loeb,Caroline Dolehide / Maria Sanchez, / , / ,444 / 267,161 / 431,https://www.flashscore.pl/zawodnik/gleason-quinn/GUlv5xbO / https://www.flashscore.pl/zawodnik/loeb-jamie/dnuFIN0K,https://www.flashscore.pl/zawodnik/dolehide-caroline/fJjFPDOb / https://www.flashscore.pl/zawodnik/sanchez-maria/Ig29X401,3.05,1.32,3.05,1.32,3,1.31,3.03,1.32,3.1,1.3,3.2,1.29,NA,NA
2021-05-04 21:00:00,0,,,0,,,NA,"ITF KOBIETY - DEBEL: W100 Charleston, SC (USA), ziemna - 1/8-finału",Hailey Baptiste / Whitney Osuigwe,Sophie Chang / Taylor Ng, / , / ,211 / 184,437 / 862,https://www.flashscore.pl/zawodnik/baptiste-hailey/Cjagsdf4 / https://www.flashscore.pl/zawodnik/osuigwe-whitney/GEAmUZ6D,https://www.flashscore.pl/zawodnik/chang-sophie/xCiOikO4 / https://www.flashscore.pl/zawodnik/ng-taylor/vB2sapnc,1.16,4.4,1.16,4.45,1.15,4.3,1.16,4.43,1.16,4.35,NA,NA,NA,NA
