event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 16:30:00,Mayo Hibi,Fernanda Contreras Gomez,0,,,0,,,,Jpn,Mex,180,468,https://www.flashscore.pl/zawodnik/hibi-mayo/SzTtjhEM,https://www.flashscore.pl/zawodnik/contreras-gomez-fernanda/YHk7aS13,1.48,2.43,1.47,2.45,,,1.48,2.43,1.47,2.45,1.51,2.35,,
"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/8-finału",06-05-2021 16:30:00,Jodie Anna Burrage,Laura Pigossi,0,,,0,,,,Gbr,Bra,240,326,https://www.flashscore.pl/zawodnik/burrage-jodie-anna/U5Ot7i32,https://www.flashscore.pl/zawodnik/pigossi-laura/l2FaZpEP,1.46,2.45,1.47,2.45,1.45,2.42,1.46,2.45,1.45,2.55,1.47,2.4,,
"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/8-finału",06-05-2021 16:30:00,Paige Mary Hourigan,Carol Zhao,0,,,0,,,,Nzl,Can,438,421,https://www.flashscore.pl/zawodnik/hourigan-paige-mary/b1tkt8i2,https://www.flashscore.pl/zawodnik/zhao-carol/Qk09uuRk,1.66,2.05,1.67,2.05,1.68,1.99,1.66,2.05,1.66,2.1,1.67,2.04,,
"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/8-finału",06-05-2021 16:30:00,Francisca Jorge,Carolina Alves,0,,,0,,,,Por,Bra,459,321,https://www.flashscore.pl/zawodnik/jorge-francisca/vyOa8QgA,https://www.flashscore.pl/zawodnik/alves-carolina/vJWWbpH8,3.0,1.32,3.0,1.32,2.95,1.32,2.99,1.32,3.05,1.32,2.95,1.33,,
"ITF KOBIETY - SINGIEL: W25 Salinas (Ekwador), twarda - 1/8-finału",06-05-2021 16:30:00,Joanne Zuger,Conny Perrin,0,,,0,,,,Sui,Sui,506,272,https://www.flashscore.pl/zawodnik/zuger-joanne/pbr1jaKN,https://www.flashscore.pl/zawodnik/perrin-conny/Krn6dKDD,2.8,1.37,2.8,1.37,2.75,1.36,2.79,1.37,2.9,1.35,2.75,1.37,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Antalya (Turcja), ziemna - Ćwierćfinał",06-05-2021 15:15:00,Edoardo Eremin / Antonio Massara,Peter Heller / Jeroen Vanneste,0,,,0,,,, / , / ,939 / 893,428 / 423,https://www.flashscore.pl/zawodnik/eremin-edoardo/EZOfbubB / https://www.flashscore.pl/zawodnik/massara-antonio/ITJaf71f,https://www.flashscore.pl/zawodnik/heller-peter/UXo7VXPq / https://www.flashscore.pl/zawodnik/vanneste-jeroen/Sh2C19Vb,4.2,1.18,4.2,1.18,4.1,1.17,4.18,1.18,4.0,1.2,4.35,1.16,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Antalya (Turcja), ziemna - Ćwierćfinał",06-05-2021 15:45:00,Sandro Ehrat / Alexander Erler,Vasile Antonescu / Mircea Alexandru Jecan,0,,,0,,,, / , / ,410 / 386,1112 / 510,https://www.flashscore.pl/zawodnik/ehrat-sandro/29U11ckS / https://www.flashscore.pl/zawodnik/erler-alexander/8fvnhGme,https://www.flashscore.pl/zawodnik/antonescu-vasile/EqpcwvNM / https://www.flashscore.pl/zawodnik/jecan-mircea-alexandru/UD9D7F8s,1.21,3.8,1.2,3.8,,,1.21,3.81,1.2,4.0,,,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Cairo 8 (Egipt), ziemna - Ćwierćfinał",06-05-2021 15:30:00,Mariano Navone / Matheus Pucinelli de Almeida,Vlad Andrei Dancu / Constant De La Bassetiere,0,,,0,,,, / , / ,789 / 568,888 / 1634,https://www.flashscore.pl/zawodnik/navone-mariano/YoPUeL3o / https://www.flashscore.pl/zawodnik/pucinelli-de-almeida-matheus/6J1eXqaF,https://www.flashscore.pl/zawodnik/dancu-vlad-andrei/fD3i7TJE / https://www.flashscore.pl/zawodnik/de-la-bassetiere-constant/2ifBbnH9,1.43,2.55,1.42,2.55,,,1.43,2.57,1.43,2.6,,,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Majadahonda (Hiszpania), ziemna - Półfinał",06-05-2021 15:10:00,Maks Houkes / Niels Visker,Alberto Barroso Campos / Johan Nikles,1,4 7 0,0,1,6 5 0,0,player_1, / , / ,857 / 964,791 / 507,https://www.flashscore.pl/zawodnik/houkes-max/00P4vHo8 / https://www.flashscore.pl/zawodnik/visker-niels/trcbXYS8,https://www.flashscore.pl/zawodnik/barroso-campos-alberto/fFWhIUQL / https://www.flashscore.pl/zawodnik/nikles-johan/rN9JzXam,2.12,1.62,2.1,1.62,,,2.12,1.62,2.15,1.62,2.16,1.6,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Monastir (Tunezja), twarda - Ćwierćfinał",06-05-2021 16:30:00,Aziz Dougaz / Benjamin Lock,Brandon Holt / Zachary Svajda,0,,,0,,,, / , / ,352 / 459,595 / 797,https://www.flashscore.pl/zawodnik/dougaz-aziz/0YI8tRD1 / https://www.flashscore.pl/zawodnik/lock-benjamin/SIBro5R7,https://www.flashscore.pl/zawodnik/holt-brandon/GtTV1GfD / https://www.flashscore.pl/zawodnik/svajda-zachary/vynGYhMa,1.71,1.98,1.72,2.0,,,1.71,1.98,1.71,2.0,1.72,1.96,,
